zonei,Oi_road,Oi_bus,Oi_rail,Oi_all,Dj_road,Dj_bus,Dj_rail,Dj_all
28,698.7014857828547,95.29201907691237,500.0064951402327,1293.9999999999995,1516.4444593393466,203.6202362378948,1264.3379903664047,2984.4026859436462
29,1545.197016037291,251.18778707082708,1038.6151968918814,2834.999999999999,1468.6495238689563,178.96872461214522,982.0302988236532,2629.6485473047546
30,247.68801645035043,38.71221281354322,255.59977073610636,542.0,1454.4938842710235,176.74672295630475,1783.502246799176,3414.742854026504
31,1347.0262385369372,219.73021612886538,1294.2435453341973,2861.0,1706.1329999800666,197.62228174656374,1950.2433433283418,3853.998625054972
32,436.6730794413439,69.93607779737326,472.3908427612828,978.9999999999999,1644.9176203799404,188.80458593075332,2121.773333526238,3955.4955398369316
33,730.32551924419,113.21090134826427,514.4635794075456,1358.0,1727.8160247695564,202.35496241336895,1231.4782536359787,3161.649240818904
34,356.76481702157594,55.068757784794,367.16642519363,779.0,2090.4691204805495,265.4492971709092,2528.8854836685173,4884.803901319976
35,370.1537379494877,62.14731842512947,380.6989436253828,813.0,1716.2643332195692,241.6486362143526,2050.334008242127,4008.2469776760486
36,611.4281342212147,103.29667277437083,630.2751930044145,1345.0,2299.283427141576,295.3989245272978,2855.426592553937,5450.108944222811
37,833.2560301625219,138.1664089233963,863.5775609140819,1835.0,1347.027379573345,171.3379101729635,1660.0412492726216,3178.40653901893
38,1350.8584307986278,253.64366036243686,1230.4979088389355,2835.0,1059.5061253817373,162.43124073687886,973.6255610144103,2195.5629271330263
39,1597.345008322635,264.27027020430864,1147.384721473057,3009.000000000001,1546.112591462109,202.4917474155128,1091.5254447357036,2840.1297836133253
40,1500.3269167984736,222.271742431603,1437.4013407699235,3160.0,2424.9691258696034,278.5768890824318,2667.9385766258824,5371.484591577918
41,157.89655250776474,20.972306914195457,115.1311405780398,294.0,1620.0982117465248,205.5617567227062,1203.9149659893228,3029.574934458554
42,386.6093407781556,61.32219078075839,311.068468441086,759.0,1527.9911384368995,197.48065175062075,1394.6103331215154,3120.0821233090355
43,551.3163449406302,84.94834181933591,567.7353132400339,1204.0,2296.739488826776,265.432166083258,2793.5129175385578,5355.684572448592
44,981.9919423472194,167.64988236771953,739.3581752850611,1889.0,1797.2214561428198,251.83850808065048,1415.7835407982088,3464.843505021679
45,1067.7082595129,179.08935438847402,719.2023860986259,1966.0,2029.4094691434998,259.34948733070013,1378.9383492444176,3667.6973057186174
46,454.27330600557207,66.41271990612006,436.313974088308,957.0000000000001,2201.689731081624,318.21680120616696,2360.321289570667,4880.227821858458
47,800.1765127905994,124.09897937956069,784.7245078298401,1709.0000000000002,1403.3622722016623,190.43572172583825,1551.8003239064672,3145.5983178339675
48,810.1842135368968,116.35937257762812,798.4564138854751,1725.0,2391.5964825248075,283.0773073669033,2694.5519269873757,5369.225716879087
49,1579.117600942359,260.2743733432445,1524.6080257143965,3364.0,1979.9789200540863,260.38682404183453,2190.2438320374486,4430.609576133369
50,1004.6631234024993,175.3864702363183,810.9504063611829,1991.0000000000005,2725.5414255759447,401.7510735541761,2363.7515861702773,5491.044085300398
51,2664.4827841147294,420.9437981643806,1800.5734177208897,4886.0,1810.808465824804,263.7210714162663,1242.6457374773331,3317.175274718403
52,583.9579528248676,103.22170397396809,579.8203432011643,1267.0,1556.1227594338668,274.6472740129255,1745.4419677559638,3576.2120012027563
53,2078.847476427853,349.8674722690426,1465.2850513031049,3894.0000000000005,2333.5788084548885,384.6636736239288,1653.5197094201287,4371.762191498946
54,593.5044489402279,103.34974853876913,631.1458025210027,1327.9999999999998,2102.8836137255603,316.49254492975814,2510.494728844178,4929.870887499496
55,458.6228864840958,80.67325221478946,448.7038613011148,988.0,1506.4138995577805,269.4239234221984,1648.0408473676862,3423.8786703476653
56,923.4663149146468,131.12452718106715,952.4091579042858,2006.9999999999998,2358.6352909953102,321.8295658689154,2762.522699614168,5442.987556478393
57,1338.1653892557906,213.4759304512906,947.3586802929188,2499.0,2364.4123100166244,309.8444877966967,1911.12826217022,4585.385059983541
58,719.7830991093543,120.74762144509045,516.4692794455551,1357.0,2064.8256915402453,334.17802448039635,1481.1750175678935,3880.178733588535
59,1208.7904335469777,169.26677754104986,954.9427889119725,2333.0,2127.699031366527,304.3699278851001,1646.9045698501266,4078.9735291017532
60,3292.3298824280796,508.3674493299338,2573.3026682419872,6374.0,1369.9269177311353,205.34557578739333,1233.6299437278387,2808.9024372463673
61,208.45655775377332,30.479294775005112,217.06414747122156,456.0,1628.4083483194986,222.72728810365896,1964.778361762274,3815.9139981854314
62,283.1955899417786,47.27952147411269,305.52488858410874,636.0,1436.856173357135,286.97181043245104,1822.2051707964897,3546.033154586076
63,905.4099549105962,153.44186882889568,951.1481762605081,2010.0,1036.962917342169,137.71251151776042,1188.9243717711483,2363.599800631078
64,395.2323371793114,73.11524835352358,360.65241446716504,829.0,1282.877081057126,210.77044783344036,1167.7059906287288,2661.3535195192953
65,1087.6718858956528,244.1112537539395,940.2168603504077,2272.0,1168.8219854869224,228.45941436366016,965.9487847057212,2363.230184556304
66,2002.3830511203244,379.2980704764902,1598.3188784031852,3980.0,950.7566042023003,149.9049520234314,687.291753807624,1787.9533100333556
67,300.3003225535514,61.86315361690359,313.83652382954506,676.0,874.1700509126151,153.1857926591175,970.6837430378288,1998.0395866095614
68,113.60309427335704,18.86873213934854,116.52817358729445,249.00000000000003,1308.1409213116995,206.609296872487,1476.2050106118168,2990.955228796003
69,475.01856100409793,84.9099046213699,539.0715343745321,1099.0,1056.4521260327133,184.5648685713716,1286.898912810063,2527.915907414148
